Rank,Name,Platform,Year,Genre,Publisher,NA_Sales_M,EU_Sales_M,JP_Sales_M,Other_Sales_M,Global_Sales_M,Regional_Sum,Sales_Diff,log_Global_Sales_M,log_NA_Sales_M,log_EU_Sales_M,log_JP_Sales_M,Era,Publisher_Strength
118,Zumba Fitness,Wii,2010,Sports,505 Games,3.5,2.64,0.0,0.67,6.81,6.8100000000000005,-8.881784197001252e-16,2.0554049638515943,1.5040773967762742,1.2919836816486494,0.0,Shooter Boom,0.0062676280542215395
119,Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,4.15,1.92,0.06,0.64,6.76,6.77,-0.009999999999999787,2.048982334195127,1.6389967146756448,1.0715836162801904,0.058268908123975775,Shooter Boom,0.027553573590540375
120,Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,3.27,2.25,0.21,1.0,6.73,6.7299999999999995,8.881784197001252e-16,2.0451088625993306,1.4516138272405332,1.1786549963416462,0.1906203596086497,Shooter Boom,0.06810202187336051
121,Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,3.1,2.3,0.28,1.04,6.72,6.720000000000001,-8.881784197001252e-16,2.0438143640366846,1.410986973710262,1.1939224684724346,0.2468600779315258,Shooter Boom,0.08154978902385981
122,FIFA 12,PS3,2011,Sports,Electronic Arts,0.84,4.32,0.11,1.42,6.69,6.69,0.0,2.0399207835175526,0.6097655716208943,1.6714733033535532,0.10436001532424277,Shooter Boom,0.12446919658671544
123,Big Brain Academy,DS,2005,Misc,Nintendo,1.67,2.78,1.6,0.62,6.67,6.669999999999999,8.881784197001252e-16,2.0373166153791646,0.9820784724121581,1.3297240096314962,0.9555114450274365,Shooter Boom,0.20027711637542542
124,Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,2.79,2.61,0.17,1.03,6.6,6.6000000000000005,-8.881784197001252e-16,2.028148247292285,1.332366019094335,1.2837077723447896,0.15700374880966475,Shooter Boom,0.04478927048441557
125,FIFA 15,PS4,2014,Sports,Electronic Arts,0.79,4.29,0.05,1.47,6.59,6.6,-0.009999999999999787,2.0268315914075385,0.5822156198526637,1.665818245870208,0.04879016416943201,Post-Peak,0.12446919658671544
126,Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,3.25,1.84,1.03,0.47,6.59,6.59,0.0,2.0268315914075385,1.4469189829363254,1.0438040521731147,0.708035793053696,Shooter Boom,0.20027711637542542
127,The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,2.55,2.71,0.25,1.05,6.56,6.56,0.0,2.0228711901914416,1.2669476034873244,1.3110318766193438,0.22314355131420976,Shooter Boom,0.009208065969840052
128,The Legend of Zelda,NES,1986,Action,Nintendo,3.74,0.93,1.69,0.14,6.51,6.499999999999999,0.010000000000000675,2.0162354657760435,1.556037135706985,0.6575200029167942,0.9895411936137477,Early Emergence,0.20027711637542542
129,Assassin's Creed III,PS3,2012,Action,Ubisoft,2.64,2.56,0.16,1.14,6.5,6.5,0.0,2.0149030205422647,1.2919836816486494,1.269760544863939,0.14842000511827327,Post-Peak,0.053217105882669466
130,Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,6.430000000000001,-8.881784197001252e-16,2.005525858729668,1.7884205679625405,0.832909122935104,0.07696104113612832,Transition,0.027553573590540375
131,Pokémon Emerald Version,GBA,2004,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41,6.420000000000001,-0.010000000000000675,2.0028304393079956,1.2725655957915476,0.9477893989335261,1.1184149159642893,Transition,0.20027711637542542
132,Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,6.4,0.0,2.0014800002101243,1.534714366238164,0.7884573603642702,0.9122827104766162,Transition,0.06810202187336051
133,Pokémon Crystal Version,GB,2000,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39,6.39,0.0,2.0001277349601105,1.2669476034873244,0.9400072584914712,0.8285518175661483,Transition,0.20027711637542542
134,Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,4.34,1.35,0.06,0.61,6.36,6.359999999999999,8.881784197001252e-16,1.9960599327407849,1.6752256529721035,0.8544153281560676,0.058268908123975775,Shooter Boom,0.027553573590540375
135,Red Dead Redemption,X360,2010,Action,Take-Two Interactive,3.7,1.97,0.09,0.57,6.34,6.33,0.009999999999999787,1.9933388426264242,1.547562508716013,1.0885619528146082,0.08617769624105233,Shooter Boom,0.04478927048441557
136,Super Mario Sunshine,GC,2002,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,6.31,0.0,1.9892432737616872,1.6114359150967734,0.8153648132841945,0.6259384308664953,Transition,0.20027711637542542
137,Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom,2.47,0.83,2.87,0.12,6.3,6.29,0.009999999999999787,1.9878743481543455,1.244154593958768,0.6043159668533296,1.3532545070416904,RPG Dominance,0.022520189587060726
138,World of Warcraft,PC,2004,Role-Playing,Activision,0.07,6.21,0.0,0.0,6.28,6.28,0.0,1.9851308622085946,0.06765864847381481,1.9754689512968577,0.0,Transition,0.08154978902385981
139,Driver,PS,1999,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27,6.26,0.009999999999999787,1.9837562915454279,1.4134230285081433,1.33500106673234,0.019802627296179712,RPG Dominance,0.0028283358219998115
140,Kinect Sports,X360,2010,Sports,Microsoft Game Studios,3.92,1.78,0.03,0.51,6.24,6.24,0.0,1.979621206397625,1.5933085305042167,1.0224509277025458,0.0295588022415444,Shooter Boom,0.027553573590540375
141,Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,4.05,1.62,0.07,0.49,6.24,6.23,0.009999999999999787,1.979621206397625,1.6193882432872684,0.9631743177730056,0.06765864847381481,Shooter Boom,0.027553573590540375
142,Gears of War,X360,2006,Shooter,Microsoft Game Studios,3.54,1.9,0.07,0.6,6.11,6.109999999999999,8.881784197001252e-16,1.9615022438151495,1.5129270120532565,1.0647107369924282,0.06765864847381481,Shooter Boom,0.027553573590540375
143,Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,6.05,0.0,1.9530276168241771,1.2383742310432684,1.1019400787607843,0.6259384308664953,Transition,0.031796637834008185
144,Sonic the Hedgehog 2,GEN,1992,Platform,Sega,4.47,1.2,0.16,0.19,6.03,6.0200000000000005,0.009999999999999787,1.9501867058225737,1.6992786164338898,0.7884573603642702,0.14842000511827327,RPG Dominance,0.030602750536969026
145,Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,2.63,1.74,0.83,0.83,6.03,6.03,0.0,1.9501867058225737,1.2892326482767593,1.007957920399979,0.6043159668533296,Shooter Boom,0.031796637834008185
146,Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,6.03,0.0,1.9501867058225737,1.430311246536665,1.0402767116551463,0.5766133643039938,RPG Dominance,0.031796637834008185
147,The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,2.41,2.28,0.28,1.01,5.99,5.9799999999999995,0.010000000000000675,1.9444805562457188,1.2267122912954256,1.1878434223960523,0.2468600779315258,Post-Peak,0.002678119016550753
148,Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,1.88,0.0,2.33,1.74,5.95,5.95,0.0,1.9387416595767009,1.0577902941478545,0.0,1.2029723039923526,Shooter Boom,0.016274981951562927
149,LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,2.8,2.05,0.17,0.9,5.92,5.92,0.0,1.9344157696295783,1.33500106673234,1.11514159061932,0.15700374880966475,Shooter Boom,0.06810202187336051
150,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,0.66,0.69,4.35,0.15,5.84,5.85,-0.009999999999999787,1.922787731634459,0.5068176023684519,0.5247285289349821,1.6770965609079151,Shooter Boom,0.20027711637542542
151,LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,3.66,1.63,0.0,0.53,5.83,5.82,0.009999999999999787,1.9213246735826988,1.5390154481375546,0.9669838461896731,0.0,Shooter Boom,0.009790996856657295
152,Resident Evil 2,PS,1998,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,5.819999999999999,8.881784197001252e-16,1.9198594718553708,1.0577902941478545,0.9042181506398859,1.1052568313867783,RPG Dominance,0.004917918847052387
153,Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,5.74,0.0,1.9080599249242156,1.1817271953786161,1.0612565021243408,0.8586616190375187,RPG Dominance,0.06810202187336051
154,Cooking Mama,DS,2006,Simulation,505 Games,3.13,1.94,0.07,0.58,5.72,5.720000000000001,-8.881784197001252e-16,1.9050881545350582,1.4182774069729414,1.0784095813505903,0.06765864847381481,Shooter Boom,0.0062676280542215395
155,Destiny,PS4,2014,Shooter,Activision,2.49,2.05,0.16,0.96,5.65,5.66,-0.009999999999999787,1.8946168546677629,1.2499017362143359,1.11514159061932,0.14842000511827327,Post-Peak,0.08154978902385981
156,Tetris,NES,1988,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58,5.580000000000001,-8.881784197001252e-16,1.884034745337226,1.3787660946990992,0.5247285289349821,1.0331844833456545,Early Emergence,0.20027711637542542
157,Assassin's Creed II,PS3,2009,Action,Ubisoft,2.54,1.95,0.21,0.87,5.57,5.57,0.0,1.8825138324965192,1.264126727145683,1.0818051703517284,0.1906203596086497,Shooter Boom,0.053217105882669466
158,Super Smash Bros.,N64,1999,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55,5.5600000000000005,-0.010000000000000675,1.8794650496471605,1.3737155789130306,0.4700036292457356,1.0885619528146082,RPG Dominance,0.20027711637542542
159,Assassin's Creed,X360,2007,Adventure,Ubisoft,3.28,1.65,0.07,0.55,5.55,5.55,0.0,1.8794650496471605,1.4539530095937054,0.9745596399981308,0.06765864847381481,Shooter Boom,0.053217105882669466
160,Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,2.7,1.91,0.11,0.8,5.53,5.5200000000000005,0.009999999999999787,1.8764069432883397,1.308332819650179,1.068153081183401,0.10436001532424277,Shooter Boom,0.01725139118698181
161,Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,2.99,1.92,0.1,0.51,5.51,5.52,-0.009999999999999787,1.873339456220478,1.3837912309017721,1.0715836162801904,0.09531017980432487,Shooter Boom,0.027553573590540375
162,Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,0.47,0.57,4.13,0.34,5.5,5.51,-0.009999999999999787,1.8718021769015913,0.3852624007906449,0.4510756193602167,1.635105659182678,Shooter Boom,0.022520189587060726
163,Super Mario Advance,GBA,2001,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49,5.49,0.0,1.8702625307159986,1.420695787837223,0.8064758658669485,0.6471032420585385,Transition,0.20027711637542542
164,Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47,5.48,-0.010000000000000675,1.8671761085128091,1.2864740258376797,0.9707789171582247,0.688134638736401,Transition,0.20027711637542542
165,Super Mario World,GBA,2001,Platform,Nintendo,3.21,1.11,0.95,0.2,5.46,5.470000000000001,-0.010000000000000675,1.8656293177945105,1.43746264769429,0.7466879474879752,0.6678293725756554,Transition,0.20027711637542542
166,Pokemon Stadium,N64,1999,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45,5.449999999999999,8.881784197001252e-16,1.864080130807681,1.430311246536665,0.8064758658669485,0.6626879730752367,RPG Dominance,0.20027711637542542
167,Call of Duty: World at War,PS3,2008,Shooter,Activision,2.72,1.87,0.0,0.84,5.43,5.43,0.0,1.860974538249528,1.3137236682850553,1.0543120297715298,0.0,Shooter Boom,0.08154978902385981
168,Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42,5.42,0.0,1.8594181177018698,1.1216775615991057,1.1908875647772805,0.2151113796169455,Transition,0.001992054203604306
169,Minecraft,PS3,2014,Misc,Sony Computer Entertainment,1.97,2.51,0.0,0.94,5.42,5.42,0.0,1.8594181177018698,1.0885619528146082,1.2556160374777745,0.0,Post-Peak,0.06810202187336051
170,Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix,1.74,1.24,1.87,0.52,5.36,5.369999999999999,-0.009999999999998899,1.8500283773520307,1.007957920399979,0.8064758658669485,1.0543120297715298,Shooter Boom,0.016274981951562927
171,Dr. Mario,GB,1989,Puzzle,Nintendo,2.18,0.96,2.0,0.2,5.34,5.340000000000001,-8.881784197001252e-16,1.8468787684491346,1.1568811967920856,0.6729444732424258,1.0986122886681096,Early Emergence,0.20027711637542542
172,Pokemon Pinball,GB,1999,Misc,Nintendo,3.02,1.12,1.01,0.16,5.31,5.3100000000000005,-8.881784197001252e-16,1.8421356765531218,1.3912819026309298,0.7514160886839212,0.6981347220709844,RPG Dominance,0.20027711637542542
173,Assassin's Creed III,X360,2012,Action,Ubisoft,3.13,1.71,0.03,0.44,5.3,5.3100000000000005,-0.010000000000000675,1.840549633397487,1.4182774069729414,0.9969486348916095,0.0295588022415444,Post-Peak,0.053217105882669466
174,Final Fantasy IX,PS,2000,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3,5.31,-0.009999999999999787,1.840549633397487,0.9631743177730056,0.5709795465857378,1.3297240096314962,Transition,0.006462685697118079
175,Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29,5.279999999999999,0.010000000000000675,1.8389610707123492,1.0715836162801904,0.7323678937132266,1.1346227261911428,Transition,0.12446919658671544
176,Donkey Kong 64,N64,1999,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27,5.27,0.0,1.8357763546448291,1.4655675420143985,0.5822156198526637,0.7371640659767197,RPG Dominance,0.20027711637542542
177,Assassin's Creed II,X360,2009,Action,Ubisoft,3.1,1.56,0.08,0.51,5.27,5.25,0.019999999999999574,1.8357763546448291,1.410986973710262,0.9400072584914712,0.07696104113612832,Shooter Boom,0.053217105882669466
178,Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo,1.22,2.48,1.03,0.52,5.26,5.25,0.009999999999999787,1.8341801851120072,0.7975071958841881,1.247032293786383,0.708035793053696,Shooter Boom,0.20027711637542542
179,Tomb Raider II,PS,1997,Action,Eidos Interactive,2.3,2.46,0.2,0.28,5.24,5.24,0.0,1.8309801823813363,1.1939224684724346,1.2412685890696329,0.18232155679395462,RPG Dominance,0.011095865226378968
180,Madden NFL 2004,PS2,2007,Sports,Electronic Arts,4.26,0.26,0.01,0.71,5.23,5.239999999999999,-0.009999999999998899,1.8293763327993617,1.6601310267496183,0.23111172096338664,0.009950330853168083,Shooter Boom,0.12446919658671544
181,Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,5.21,5.21,0.0,1.8261608959453874,0.5007752879124893,0.5596157879354227,1.5282278570085572,Transition,0.016274981951562927
182,Diablo III,PC,2012,Role-Playing,Activision,2.43,2.15,0.0,0.62,5.2,5.2,0.0,1.8245492920510458,1.2325602611778486,1.1474024528375417,0.0,Post-Peak,0.08154978902385981
183,Super Mario Bros. 3,GBA,2003,Platform,Nintendo,2.93,1.25,0.83,0.2,5.2,5.21,-0.009999999999999787,1.8245492920510458,1.3686394258811698,0.8109302162163288,0.6043159668533296,Transition,0.20027711637542542
184,New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,2.32,1.3,1.27,0.31,5.19,5.2,-0.009999999999999787,1.8229350866965048,1.199964782928397,0.832909122935104,0.8197798314933114,Post-Peak,0.20027711637542542
185,Super Mario Land 3: Wario Land,GB,1994,Platform,Nintendo,2.49,0.98,1.57,0.15,5.19,5.19,0.0,1.8229350866965048,1.2499017362143359,0.6830968447064438,0.9439058989071285,RPG Dominance,0.20027711637542542
186,FIFA Soccer 13,X360,2012,Action,Electronic Arts,1.08,3.48,0.03,0.58,5.18,5.170000000000001,0.009999999999998899,1.8213182714695995,0.7323678937132266,1.4996230464268938,0.0295588022415444,Post-Peak,0.12446919658671544
187,The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo,1.9,1.83,0.95,0.49,5.17,5.17,0.0,1.8196988379172965,1.0647107369924282,1.0402767116551463,0.6678293725756554,Shooter Boom,0.20027711637542542
188,Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,Nintendo,2.1,0.74,2.2,0.11,5.15,5.15,0.0,1.8164520818184267,1.1314021114911006,0.5538851132264376,1.1631508098056809,RPG Dominance,0.20027711637542542
189,Tomodachi Life,3DS,2013,Simulation,Nintendo,0.96,2.02,1.89,0.28,5.15,5.15,0.0,1.8164520818184267,0.6729444732424258,1.1052568313867783,1.0612565021243408,Post-Peak,0.20027711637542542
190,Mario & Sonic at the Olympic Games,DS,2008,Sports,Sega,1.64,2.48,0.44,0.58,5.14,5.140000000000001,-8.881784197001252e-16,1.814824742159051,0.9707789171582247,1.247032293786383,0.36464311358790924,Shooter Boom,0.030602750536969026
191,Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.13,5.14,-0.009999999999999787,1.81319474994812,1.091923300517313,1.172482137234565,0.12221763272424921,Transition,0.12446919658671544
192,Kirby's Dream Land,GB,1992,Platform,Nintendo,2.71,0.61,1.7,0.11,5.13,5.13,0.0,1.81319474994812,1.3110318766193438,0.4762341789963716,0.9932517730102834,RPG Dominance,0.20027711637542542
193,Fable III,X360,2010,Role-Playing,Microsoft Game Studios,3.59,1.11,0.05,0.38,5.13,5.13,0.0,1.81319474994812,1.5238800240724537,0.7466879474879752,0.04879016416943201,Shooter Boom,0.027553573590540375
194,Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,3.21,1.53,0.01,0.38,5.13,5.13,0.0,1.81319474994812,1.43746264769429,0.9282193027394289,0.009950330853168083,Post-Peak,0.08154978902385981
195,Microsoft Flight Simulator,PC,1996,Simulation,Microsoft Game Studios,3.22,1.69,0.0,0.2,5.12,5.11,0.009999999999999787,1.8115620965242347,1.4398351280479205,0.9895411936137477,0.0,RPG Dominance,0.027553573590540375
196,Guitar Hero II,PS2,2006,Misc,RedOctane,3.81,0.63,0.0,0.68,5.12,5.12,0.0,1.8115620965242347,1.5706970841176697,0.48858001481867097,0.0,Shooter Boom,0.0009730461726103196
197,Resident Evil 5,PS3,2009,Action,Capcom,1.96,1.43,1.08,0.65,5.11,5.12,-0.009999999999999787,1.809926773183504,1.085189268335969,0.8878912573524571,0.7323678937132266,Shooter Boom,0.022520189587060726
198,Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive,2.66,2.01,0.0,0.41,5.08,5.08,0.0,1.8050046959780757,1.297463147413275,1.1019400787607843,0.0,Post-Peak,0.04478927048441557
199,Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive,1.7,2.02,0.16,1.21,5.08,5.09,-0.009999999999999787,1.8050046959780757,0.9932517730102834,1.1052568313867783,0.14842000511827327,Shooter Boom,0.04478927048441557
200,FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,0.6,3.29,0.06,1.13,5.08,5.08,0.0,1.8050046959780757,0.4700036292457356,1.4562867329399256,0.058268908123975775,Shooter Boom,0.12446919658671544
201,Super Mario Bros.,GB,1999,Platform,Nintendo,3.4,1.3,0.15,0.22,5.07,5.07,0.0,1.803358605071407,1.4816045409242156,0.832909122935104,0.13976194237515868,RPG Dominance,0.20027711637542542
202,Resident Evil,PS,1996,Action,Virgin Interactive,2.05,1.16,1.11,0.73,5.05,5.050000000000001,-8.881784197001252e-16,1.80005827204275,1.11514159061932,0.7701082216960736,0.7466879474879752,RPG Dominance,0.004917918847052387
203,Tony Hawk's Pro Skater,PS,1999,Sports,Activision,3.42,1.38,0.02,0.2,5.02,5.02,0.0,1.7950872593207297,1.4861396960896067,0.8671004876833832,0.019802627296179712,RPG Dominance,0.08154978902385981
204,Super Smash Bros. for Wii U and 3DS,WiiU,2014,Fighting,Nintendo,2.59,1.06,0.8,0.57,5.02,5.0200000000000005,-8.881784197001252e-16,1.7950872593207297,1.2781522025001875,0.7227059828014898,0.5877866649021191,Post-Peak,0.20027711637542542
205,Warzone 2100,PS,1999,Strategy,Eidos Interactive,2.79,1.89,0.0,0.33,5.01,5.01,0.0,1.7934247485471162,1.332366019094335,1.0612565021243408,0.0,RPG Dominance,0.011095865226378968
206,Spyro the Dragon,PS,1998,Platform,Sony Computer Entertainment,3.36,1.36,0.07,0.21,5.0,5.0,0.0,1.791759469228055,1.4724720573609429,0.8586616190375187,0.06765864847381481,RPG Dominance,0.06810202187336051
207,Link's Crossbow Training,Wii,2007,Shooter,Nintendo,3.06,1.18,0.29,0.46,5.0,4.99,0.009999999999999787,1.791759469228055,1.4011829736136412,0.7793248768009976,0.2546422183735807,Shooter Boom,0.20027711637542542
208,Guitar Hero III: Legends of Rock,PS2,2007,Misc,Activision,3.49,0.01,0.01,1.48,4.98,4.99,-0.009999999999999787,1.7884205679625405,1.501852701754163,0.009950330853168083,0.009950330853168083,Shooter Boom,0.08154978902385981
209,Fallout 3,X360,2008,Role-Playing,Bethesda Softworks,3.39,1.03,0.09,0.44,4.96,4.95,0.009999999999999787,1.7850704810772584,1.47932922708708,0.708035793053696,0.08617769624105233,Shooter Boom,0.009208065969840052
210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007,Role-Playing,Nintendo,1.85,1.2,1.54,0.37,4.96,4.96,0.0,1.7850704810772584,1.0473189942805592,0.7884573603642702,0.9321640810304452,Shooter Boom,0.20027711637542542
211,Uncharted: Drake's Fortune,PS3,2007,Action,Sony Computer Entertainment,2.31,1.73,0.12,0.78,4.94,4.94,0.0,1.7817091333745536,1.1969481893889715,1.0043016091968684,0.11332868530700317,Shooter Boom,0.06810202187336051
